index,reactant_smiles
148,Cc1cc(Br)cc2c(C=O)c[nH]c12
149,CC(C)CCCC(=O)/C=C/CCCC=O
150,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)Oc1ccc(F)cc1
151,C[C@H]1OC(C)(C)O[C@@]1(C)C=O
152,CC(C)=CC=O
153,CCOc1ccc(Cc2cc([C@@H]3O[C@@H]4CO[C@@H](c5ccccc5)O[C@H]4C(=O)[C@H]3OCOC)ccc2Cl)cc1
154,CC(C)COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
155,COc1cccc(C(=O)c2cc(Cl)ccc2-c2ccccc2C=O)c1OC
156,C[C@@H](Cl)C[C@@H]1O[C@H]1C=O
157,Clc1nc2ccccc2cc1C=P(c1ccccc1)(c1ccccc1)c1ccccc1
158,CCCn1ccnc1C=O
159,CC(C)CNC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
160,O=[N+]([O-])c1ccc(C=Cc2ccc(C=P(c3ccccc3)(c3ccccc3)c3ccccc3)cc2)c([N+](=O)[O-])c1
161,Cc1cc(C=O)nn1-c1ccc(Cl)c(Cl)c1
162,C/C(=C\CO)CCCC=O
163,O=[N+]([O-])c1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c([N+](=O)[O-])c1
164,C[Si](C)(C)C#CCCCCC=O
165,O=C(COC1CCCCO1)c1cccc(Cl)c1
166,CC(=O)N[C@H](C=O)CC(C)C
167,Cc1oc(C=O)cc1N1CCCCC1
168,COC(COc1ccc(C=O)cc1)OC
169,COc1ccc(-c2cc(C=O)on2)cc1OC
170,O=C/C=C/Cc1ccc2c(c1)OCO2
171,CCCCCCCCN1c2ccccc2Sc2cc(/C=C/c3ccc4c(c3)Sc3cc(C=O)ccc3N4CCCCCCCC)ccc21
172,CN(C)c1ccncc1C=O
173,COC(=O)c1ccc(C=O)cc1
174,COc1ccc(C(CC(=O)O)CC(=O)c2ccccc2)cc1
175,O=Cc1cc(Br)ccc1F
176,CC1=C(C=O)C(C)(C)CCC1
177,CC(C)(C)[Si](OCCCCC(=O)CCC=O)(c1ccccc1)c1ccccc1
178,C=C(C)CC(C(=O)OC(C)(C)C)c1c(C=O)cc2c(OC)ccc(OC)c2c1OC
179,CC(=O)O/N=C(\Cc1ccccc1)[C@H](O)[C@@H](C=O)Cc1ccccc1
180,O=Cc1cc2ccccc2oc1=O
181,CC(C)(C)c1ccc(N2CCC3(CCC(=O)CC3)C2=O)cc1
182,O=C1CCCC1Oc1ccc(Cl)cc1Br
183,O=Cc1ccccc1OC12CC3CC(CC(C3)C1)C2
184,COc1cccc(CCC=O)c1O[Si](C)(C)C(C)(C)C
185,O=C[C@H]1CCc2ccccc2O1
186,COc1cccc(C2OCCCO2)c1Oc1cccc(C=O)c1
187,O=C1CCCCC1O
188,C/C=C1/CN2[C@H]3Cc4c([nH]c5ccc(OC)cc45)[C@@H]2C[C@@H]1C3=O
189,COC(=O)C(C)=CC=CC(C)=CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
190,CCCC/C=C/CCCC=O
191,C[C@H](CC=P(c1ccccc1)(c1ccccc1)c1ccccc1)C[C@@H](C)CCO
192,CN1C(=O)[C@]2(C(C=O)=CO[C@]23C(=O)N(C)c2ccc(Cl)cc23)c2ccccc21
193,COc1ccc(COCC(=O)[C@@H](O[C@@H]2O[C@H](COCc3ccc(OC)cc3)[C@@H](OCc3ccc(OC)cc3)[C@H](OCc3ccc(OC)cc3)[C@H]2OCc2ccc(OC)cc2)[C@H](OCc2ccc(OC)cc2)[C@H](CO[Si](C)(C)C(C)(C)C)OCc2ccc(OC)cc2)cc1
194,O=C(CCCCCCCCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1)OCc1ccccc1
195,C=CCCCC1COCCC1=O
196,CCCCCCC1(C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H]2CCCCC2=O)SCCCS1
197,CC(C)(C)[Si](C)(C)OCCC[C@@H]1O[C@@]1(C)CCC=O
198,O=CCCCCOC1CCCCO1
199,CC(C)OC(=O)C=O
200,COCOc1cc(CCc2ccc(-c3ccc(OC)cc3C=O)c(OC)c2)ccc1OC
201,CC1=C[C@H](CC=O)[C@H](c2onc(C)c2[N+](=O)[O-])[C@@H](c2ccc(Cl)cc2Cl)C1
202,C=C(Cl)C=O
203,O=CC[C@@H](C/C=C/C(=O)c1ccccc1Cl)c1ccccc1
204,COCCOCO[C@H](C=O)[C@H](O[Si](C)(C)C(C)(C)C)c1ccccc1
205,C/C(C=O)=C\CO[Si](C)(C)C(C)(C)C
206,Clc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c(Br)c1
207,CC(CC=O)c1ccccc1
208,CC(=O)c1ccc(C)c(Br)c1
209,CCCC[C@@H]1[C@@H]([N+](=O)[O-])[C@H](CC(=O)c2ccccc2)CC[C@H]1C=O
210,O=Cc1ccccc1Oc1ccc(F)cc1
211,CC(C)(C)OC(=O)C[C@H]1C[C@@H](C=O)OB(CCc2ccccc2)O1
212,CCCCC[C@@H](OCc1ccc(OC)cc1)[C@H](CCC=O)OCc1ccccc1
213,CC(=O)c1ccc(Cl)cc1
214,COc1cccc(C(=O)C(F)(F)F)c1
215,COC(=O)C(=O)c1cc2ccccc2n1C(=O)OC(C)(C)C
216,COC(=O)CCC[C@@H](/C=C/C=C\C/C=C\CC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
217,O=C(c1ccccc1)c1ccc(CCCOc2cccnc2-c2ccccc2)cc1
218,O=Cc1ccccc1Sc1ccc2ccc3cccc4ccc1c2c34
219,CC(C)(C)OC(=O)N1C(=O)[C@]2(c3ccccc31)[C@H](CC=O)c1ccccc1O[C@H]2c1ccccc1
220,O=C/C=C/c1cnc2ccccc2c1
221,CC(C)[Si](C#C/C=C\[C@@H]1[C@@H]2CCC[C@]13CCC[C@@H](CC=O)N3O2)(C(C)C)C(C)C
222,CCCCC=O
223,CC(=CC=P(c1ccccc1)(c1ccccc1)c1ccccc1)C1OCC(C)(C)CO1
